ID;[M-H]-;[(M-H)+Na+Cl]-;[M+CH2CN]-;[M+Cl]-;[(M-2H)+Na]-;[M+OH]-;[(M-H)-H2O]-;[(M-H)-2H2O]-;[(M-H)-CO2]-;[(M-H)-HPO3]-;[(M-H)-SO3]-;[M+HCO3]-
S0159;74.0247;131.9834;115.0513;110.0014;96.0067;92.0353;56.0142;38.0036;30.0349;-5.9416;-5.9321;136.0251
S0046;111.02;168.9786;152.0466;146.9967;133.0019;129.0306;93.0094;74.9989;67.0302;31.0537;31.0632;173.0204
S0058;125.0356;182.9943;166.0622;161.0123;147.0176;143.0462;107.0251;89.0145;81.0458;45.0693;45.0788;187.036
S0213;134.0281;191.9867;175.0547;170.0048;156.0101;152.0387;116.0176;98.007;90.0383;54.0618;54.0713;196.0285
S0137;151.04;208.9987;192.0666;187.0167;173.022;169.0506;133.0295;115.0189;107.0502;71.0737;71.0833;213.0405
S0082;165.0557;223.0143;206.0823;201.0324;187.0377;183.0663;147.0452;129.0346;121.0659;85.0894;85.0989;227.0561
S0008;179.0561;237.0147;220.0827;215.0328;201.0381;197.0667;161.0455;143.035;135.0663;99.0898;99.0993;241.0565
S0040;203.0826;261.0412;244.1092;239.0593;225.0645;221.0932;185.072;167.0615;159.0928;123.1163;123.1258;265.083
S0098;243.0622;301.0209;284.0888;279.0389;265.0442;261.0728;225.0517;207.0411;199.0724;163.0959;163.1054;305.0627
S0130;289.1153;347.074;330.1419;325.092;311.0973;307.1259;271.1048;253.0942;245.1255;209.149;209.1585;351.1158
S0006;341.1089;399.0676;382.1355;377.0856;363.0909;359.1195;323.0984;305.0878;297.1191;261.1426;261.1521;403.1093
S0263;482.9612;540.9199;523.9878;518.9379;504.9432;500.9718;464.9507;446.9401;438.9714;402.9949;403.0044;544.9616
S0109;87.0087;144.9674;128.0353;122.9854;108.9907;105.0193;68.9982;50.9876;43.0189;7.0424;7.052;149.0092
S0158;112.0516;170.0103;153.0782;148.0283;134.0336;130.0622;94.0411;76.0305;68.0618;32.0853;32.0948;174.052
S0071;128.0353;185.9939;169.0619;164.012;150.0173;146.0459;110.0248;92.0142;84.0455;48.069;48.0785;190.0357
S0042;134.0472;192.0058;175.0738;170.0239;156.0292;152.0578;116.0367;98.0261;90.0574;54.0809;54.0904;196.0476
S0075;151.04;208.9987;192.0666;187.0167;173.022;169.0506;133.0295;115.0189;107.0502;71.0737;71.0833;213.0405
S0088;165.0557;223.0143;206.0823;201.0324;187.0377;183.0663;147.0452;129.0346;121.0659;85.0894;85.0989;227.0561
S0065;179.0561;237.0147;220.0827;215.0328;201.0381;197.0667;161.0455;143.035;135.0663;99.0898;99.0993;241.0565
S0092;206.0822;264.0409;247.1088;242.0589;228.0642;224.0928;188.0717;170.0611;162.0924;126.1159;126.1255;268.0827
S0223;250.0932;308.0518;291.1198;286.0699;272.0752;268.1038;232.0827;214.0721;206.1034;170.1269;170.1364;312.0936
S0135;292.1038;350.0624;333.1303;328.0805;314.0857;310.1144;274.0932;256.0827;248.114;212.1375;212.147;354.1042
S0161;341.1089;399.0676;382.1355;377.0856;363.0909;359.1195;323.0984;305.0878;297.1191;261.1426;261.1521;403.1093
S0191;489.9935;547.9522;531.0201;525.9702;511.9755;508.0041;471.983;453.9724;446.0037;410.0272;410.0367;551.9939
S0138;87.0927;145.0514;128.1193;123.0694;109.0747;105.1033;69.0822;51.0716;43.1029;7.1264;7.136;149.0932
S0165;114.056;172.0147;155.0826;150.0327;136.038;132.0666;96.0455;78.0349;70.0662;34.0897;34.0992;176.0564
S0031;128.0353;185.9939;169.0619;164.012;150.0173;146.0459;110.0248;92.0142;84.0455;48.069;48.0785;190.0357
S0050;135.0312;192.9899;176.0578;171.0079;157.0132;153.0418;117.0207;99.0101;91.0414;55.0649;55.0744;197.0316
S0084;151.04;208.9987;192.0666;187.0167;173.022;169.0506;133.0295;115.0189;107.0502;71.0737;71.0833;213.0405
S0023;165.0557;223.0143;206.0823;201.0324;187.0377;183.0663;147.0452;129.0346;121.0659;85.0894;85.0989;227.0561
S0007;179.0561;237.0147;220.0827;215.0328;201.0381;197.0667;161.0455;143.035;135.0663;99.0898;99.0993;241.0565
S0055;213.1244;271.0831;254.151;249.1011;235.1064;231.135;195.1139;177.1033;169.1346;133.1581;133.1677;275.1249
S0179;251.0786;309.0372;292.1051;287.0553;273.0605;269.0891;233.068;215.0574;207.0887;171.1122;171.1218;313.079
S0180;296.0823;354.0409;337.1088;332.059;318.0642;314.0928;278.0717;260.0612;252.0925;216.116;216.1255;358.0827
S0019;341.1089;399.0676;382.1355;377.0856;363.0909;359.1195;323.0984;305.0878;297.1191;261.1426;261.1521;403.1093
S0173;505.9884;563.9471;547.015;541.9651;527.9704;523.999;487.9779;469.9673;461.9986;426.0221;426.0317;567.9889
S0024;88.0404;145.999;129.067;124.0171;110.0223;106.051;70.0298;52.0193;44.0506;8.0741;8.0836;150.0408
S0059;115.0037;172.9623;156.0302;150.9804;136.9856;133.0142;96.9931;78.9826;71.0139;35.0374;35.0469;177.0041
S0047;129.0557;187.0143;170.0823;165.0324;151.0377;147.0663;111.0452;93.0346;85.0659;49.0894;49.0989;191.0561
S0108;135.0451;193.0038;176.0717;171.0218;157.0271;153.0557;117.0346;99.024;91.0553;55.0788;55.0883;197.0455
S0095;151.04;208.9987;192.0666;187.0167;173.022;169.0506;133.0295;115.0189;107.0502;71.0737;71.0833;213.0405
S0106;165.0557;223.0143;206.0823;201.0324;187.0377;183.0663;147.0452;129.0346;121.0659;85.0894;85.0989;227.0561
